,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
World Urbanization Prospects: The 2014 Revision,,,,,,,,,,,,,,,,,,,,,,,,
"File 3: Urban Population at Mid-Year by Major Area, Region and Country, 1950-2050 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WUP/Rev.2014/1/F03,,,,,,,,,,,,,,,,,,,,,,,,
June 2014 - Copyright © 2014 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2014). World Urbanization Prospects: The 2014 Revision, CD-ROM Edition.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Urban Population at Mid-Year, 1950-2050 (thousands)",,,,,,,,,,,,,,,,,,,,
Index,"Major area, region, country or area",Note,Country Code,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
56,Namibia,,516,65.067,83.454,107.91,136.75,173.96,214.19,253.859,303.048,391.461,493.175,614.423,742.535,906.793,1116.28,1338.204,1566.806,1789.777,1996.197,2181.898,2362.048,2538.368
57,South Africa,,710,5778.376,6832.773,8110.005,9361.674,10758.266,12363.484,14080.706,16284.482,19146.227,22571.676,25513.344,28717.26,32012.49,34662.753,37044.087,39313.425,41449.818,43509.98,45468.239,47343.072,49102.541
58,Swaziland,,748,5.46,7.635,13.667,25.436,43.271,72.417,107.677,153.826,197.63,222.048,241.314,243.442,256.431,273.913,293.945,318.324,348.754,386.739,428.92,474.644,522.931
59,Western Africa,,914,5966.053,8551.201,12414.838,15665.223,19729.017,25270.864,32395.961,42225.905,54302.378,66444.731,81203.289,101399.301,126864.327,157625.136,193142.329,233490.987,278751.271,328642.692,383560.957,444365.388,510529.504
60,Benin,,204,111.784,156.746,225.522,329.541,485.323,714.73,1016.464,1320.325,1724.683,2200.216,2663.874,3271.437,3980.253,4781.69,5709.053,6767.728,7950.457,9239.042,10616.804,12067.635,13574.146
61,Burkina Faso,,854,164.385,191.862,226.977,268.985,323.163,390.629,600.776,953.16,1217.208,1526.708,2071.267,2890.727,3988.485,5349.061,6969.668,8832.906,10896.359,13107.688,15573.754,18308.917,21298.974
62,Cabo Verde,,132,25.285,30.101,35.401,43.675,53.872,66.915,70.93,104.254,155.285,194.816,236.411,276.13,301.501,333.079,364.451,394.157,420.73,443.254,462.28,479.051,493.221
63,Côte d'Ivoire,,384,262.001,390.942,614.281,1033.836,1476.266,2129.152,3044.126,3850.888,4767.023,5859.03,7023.684,8146.72,9594.072,11537.876,13665.899,15968.377,18422.404,21006.857,23783.069,26789.641,29997.297
64,Gambia,,270,27.856,33.939,44.628,58.256,87.204,127.275,171.727,241.728,351.251,462.129,588.236,751.92,946.153,1174.794,1432.149,1714.24,2016.476,2345.454,2701.266,3077.912,3468.322
65,Ghana,,288,769.242,1084.333,1546.844,2009.981,2489.577,2954.295,3366.368,4183.32,5330.857,6727.828,8269.671,10116.375,12304.401,14582.77,16999.9,19505.811,22063.688,24637.471,27184.849,29719.475,32192.42
