city,state_name,lat,lng,population,density
New York,New York,40.6943,-73.9249,18832416,10943.7
Los Angeles,California,34.1141,-118.4068,11885717,3165.7
Chicago,Illinois,41.8375,-87.6866,8489066,4590.3
Miami,Florida,25.784,-80.2101,6113982,4791.1
Houston,Texas,29.786,-95.3885,6046392,1386.2
Dallas,Texas,32.7935,-96.7667,5843632,1477.1
Philadelphia,Pennsylvania,40.0077,-75.1339,5696588,4548.5
Atlanta,Georgia,33.7628,-84.422,5211164,1424.8
Washington,District of Columbia,38.9047,-77.0163,5146120,4245.2
Boston,Massachusetts,42.3188,-71.0852,4355184,5303.2
Phoenix,Arizona,33.5722,-112.0892,4065338,1210.3
Detroit,Michigan,42.3834,-83.1024,3716929,1771.8
Seattle,Washington,47.6211,-122.3244,3555253,3408
San Francisco,California,37.7558,-122.4449,3364862,6916.7
San Diego,California,32.8313,-117.1222,3057778,1640
Minneapolis,Minnesota,44.9635,-93.2678,2906807,3052
Tampa,Florida,27.9945,-82.4447,2906035,1326.7
Brooklyn,New York,40.6501,-73.9496,2736074,15200.5
Denver,Colorado,39.762,-104.8758,2691349,1800.3
Queens,New York,40.7498,-73.7976,2405464,8503.7
Riverside,California,33.9381,-117.3949,2288508,1504.7
Las Vegas,Nevada,36.2333,-115.2654,2256509,1771.4
Baltimore,Maryland,39.3051,-76.6144,2189589,2753.1
St. Louis,Missouri,38.6359,-90.2451,2127843,1833.6
Portland,Oregon,45.5371,-122.65,2084045,1858.9
San Antonio,Texas,29.4632,-98.5238,2069843,1129
Sacramento,California,38.5677,-121.4685,1962998,2054.1
Austin,Texas,30.3005,-97.7522,1915031,1144.9
Orlando,Florida,28.4773,-81.337,1913597,1083.2
San Juan,Puerto Rico,18.3985,-66.061,1809800,3110.1
San Jose,California,37.3012,-121.848,1771563,2148.3
Indianapolis,Indiana,39.7771,-86.1458,1740984,943.3
Pittsburgh,Pennsylvania,40.4397,-79.9763,1712828,2117.1
Cincinnati,Ohio,39.1413,-84.506,1704916,1534.2
Manhattan,New York,40.7834,-73.9662,1694263,28653.9
Kansas City,Missouri,39.1238,-94.5541,1686807,623.9
Cleveland,Ohio,41.4764,-81.6805,1679247,1825.4
Columbus,Ohio,39.9862,-82.9855,1578153,1579.9
